"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Rolando Blackman",1982,1994,13,1959-02-26,"G",78,190,"Kansas State University"
"Alex Blackwell",1993,1993,1,1970-06-27,"F",78,250,"Monmouth University"
"Cory Blackwell",1985,1985,1,1963-03-27,"F",78,210,"University of Wisconsin"
"James Blackwell",1995,1995,1,1968-02-25,"G",72,190,"Dartmouth College"
"Nate Blackwell",1988,1988,1,1965-02-15,"G",76,170,"Temple University"
"DeJuan Blair",2010,2016,7,1989-04-22,"F-C",79,270,"University of Pittsburgh"
"Steve Blake",2004,2016,13,1980-02-26,"G",75,172,"University of Maryland"
"Antonio Blakeney",2018,2018,1,1996-10-04,"G",76,197,"Louisiana State University"
"Will Blalock",2007,2007,1,1983-09-08,"G",72,205,"Iowa State University"
"George Blaney",1962,1962,1,1939-11-12,"G",73,175,"College of the Holy Cross"
"Lance Blanks",1991,1993,3,1966-09-09,"G",76,190,"University of Texas at Austin"
"Ricky Blanton",1993,1993,1,1966-04-21,"F",79,215,"Louisiana State University"
"Andray Blatche",2006,2014,9,1986-08-22,"F",83,235,"No College"
"Mookie Blaylock",1990,2002,13,1967-03-20,"G",72,180,"University of Oklahoma"
"Eric Bledsoe",2011,2018,8,1989-12-09,"G",73,205,"University of Kentucky"
"Leon Blevins",1951,1951,1,1926-06-25,"G",74,160,"University of Arizona"
"John Block",1967,1976,10,1944-04-16,"F-C",81,207,"University of Southern California"
"Mike Bloom",1948,1949,2,1915-01-14,"F-C",78,190,"Temple University"
"Corie Blount",1994,2004,11,1969-01-04,"F",81,240,"University of Cincinnati"
"Mark Blount",2001,2009,9,1975-11-30,"C",84,230,"University of Pittsburgh"
"Vander Blue",2014,2018,5,1992-07-17,"G",76,200,"Marquette University"
"Ray Blume",1982,1982,1,1958-09-23,"G",76,185,"Oregon State University"
"Nelson Bobb",1950,1953,4,1924-02-25,"G",72,170,"Temple University"
"Tony Bobbitt",2005,2005,1,1979-10-22,"G",76,190,"University of Cincinnati"
"Bucky Bockhorn",1959,1965,7,1933-07-08,"G",76,200,"University of Dayton"
"Tom Boerwinkle",1969,1978,10,1945-08-23,"C",84,265,"University of Tennessee"
"Keith Bogans",2004,2014,11,1980-05-12,"G-F",77,215,"University of Kentucky"
"Bogdan Bogdanovic",2018,2018,1,1992-08-18,"G",78,205,"No College"
"Bojan Bogdanovic",2015,2018,4,1989-04-18,"G-F",80,216,"No College"
"Muggsy Bogues",1988,2001,14,1965-01-09,"G",63,136,"Wake Forest University"
"Andrew Bogut",2006,2018,13,1984-11-28,"C",84,260,"University of Utah"
"Etdrick Bohannon",1998,2001,4,1973-05-29,"F",81,220,"Auburn University at Montgomery"
"Manute Bol",1986,1995,10,1962-10-16,"C",91,200,"University of Bridgeport"
"Bill Bolger",1954,1954,1,1931-08-21,"F",77,205,"Georgetown University"
"Joel Bolomboy",2017,2018,2,1994-01-28,"F",81,235,"Weber State University"
"Doug Bolstorff",1958,1958,1,1931-10-29,"G",76,195,"University of Minnesota"
"George Bon Salle",1962,1962,1,1935-07-01,"F",80,220,"University of Illinois at Urbana-Champaign"
"Phil Bond",1978,1978,1,1954-07-27,"G",74,175,"University of Louisville"
"Walter Bond",1993,1995,3,1969-02-01,"G",77,200,"University of Minnesota"
"Dexter Boney",1997,1997,1,1970-04-27,"G",76,185,"University of Nevada, Las Vegas"
"Ron Bonham",1965,1968,4,1942-05-31,"F",77,192,"University of Cincinnati"
"Anthony Bonner",1991,1996,6,1968-06-08,"F",80,215,"Saint Louis University"
"Matt Bonner",2005,2016,12,1980-04-05,"F",82,235,"University of Florida"
"Butch Booker",1970,1970,1,1945-07-20,"C",82,230,"Cheyney University of Pennsylvania"
"Devin Booker",2016,2018,3,1996-10-30,"G",78,206,"University of Kentucky"
"Melvin Booker",1996,1997,2,1972-08-20,"G",73,185,"University of Missouri"
"Trevor Booker",2011,2018,8,1987-11-25,"F",80,228,"Clemson University"
"Josh Boone",2007,2010,4,1984-11-21,"F-C",82,237,"University of Connecticut"
"Ron Boone",1969,1981,13,1946-09-06,"G-F",74,200,"Idaho State University"
"Calvin Booth",2000,2009,10,1976-05-07,"C",83,230,"Pennsylvania State University"
"Keith Booth",1998,1999,2,1974-10-09,"F",78,226,"University of Maryland"
"Bob Boozer",1961,1971,11,1937-04-26,"F",80,215,"Kansas State University"
"Carlos Boozer",2003,2015,13,1981-11-20,"F-C",81,258,"Duke University"
"Curtis Borchardt",2004,2005,2,1980-09-13,"C",84,240,"Stanford University"
"Jake Bornheimer",1949,1950,2,1927-06-29,"F-C",77,200,"Muhlenberg College"
"Lazaro Borrell",2000,2000,1,1972-09-20,"F",80,220,"No College"
"Ike Borsavage",1951,1951,1,1924-07-25,"C-F",80,220,"Temple University"
"Vince Boryla",1950,1954,5,1927-03-11,"F",77,210,"University of Denver"
"Chris Bosh",2004,2016,13,1984-03-24,"F-C",83,235,"Georgia Institute of Technology"
"Jim Bostic",1978,1978,1,1953-01-28,"F",79,225,"New Mexico State University"
"Lawrence Boston",1980,1980,1,1956-05-18,"F",80,225,"University of Maryland"
"Tom Boswell",1976,1984,9,1953-10-02,"F-C",81,220,"University of South Carolina"
"Ruben Boumtje-Boumtje",2002,2004,3,1978-05-20,"C",84,257,"Georgetown University"
"Don Boven",1950,1953,4,1925-03-06,"F-G",76,210,"Western Michigan University"
"Cal Bowdler",2000,2002,3,1977-03-31,"F",82,245,"Old Dominion University"
"Bruce Bowen",1997,2009,13,1971-06-14,"F",79,185,"California State University, Fullerton"
"Ryan Bowen",2000,2010,11,1975-11-20,"F",79,215,"University of Iowa"
"Tommie Bowens",1968,1970,3,1940-07-07,"F-C",80,220,"Grambling State University"
"Anthony Bowie",1989,1998,10,1963-11-09,"G-F",78,190,"University of Oklahoma"
"Sam Bowie",1985,1995,11,1961-03-17,"C-F",85,235,"University of Kentucky"
"Orbie Bowling",1968,1968,1,1939-03-21,"C",82,215,"University of Tennessee"
"Ira Bowman",2000,2002,3,1973-06-11,"G",77,195,"University of Pennsylvania"
"Nate Bowman",1967,1972,6,1943-03-19,"C",82,230,"Wichita State University"
"Donnie Boyce",1996,1997,2,1973-09-02,"G",77,196,"University of Colorado"
"Dennis Boyd",1979,1979,1,1954-05-21,"G",73,175,"University of Detroit Mercy"
"Freddie Boyd",1973,1978,6,1950-06-13,"G",74,180,"Oregon State University"
"Ken Boyd",1975,1975,1,1952-03-25,"F",77,195,"Boston University"
"Earl Boykins",1999,2012,14,1976-06-02,"G",65,135,"Eastern Michigan University"
"Harry Boykoff",1950,1951,2,1922-07-24,"C",82,225,"St. John's University"
"Winford Boynes",1979,1981,3,1957-05-17,"G-F",78,185,"University of San Francisco"
"Cedric Bozeman",2007,2007,1,1983-03-07,"G",78,207,"University of California, Los Angeles"
"Steve Bracey",1973,1975,3,1950-08-01,"G",73,175,"University of Tulsa"
"Craig Brackins",2011,2012,2,1987-10-09,"F",82,230,"Iowa State University"
"Gary Bradds",1965,1971,7,1942-07-26,"F",80,210,"Ohio State University"
"Alex Bradley",1982,1982,1,1959-10-30,"F",78,215,"Villanova University"
"Alonzo Bradley",1978,1980,3,1953-10-16,"F",78,190,"Texas Southern University"
"Avery Bradley",2011,2018,8,1990-11-26,"G",74,180,"University of Texas at Austin"
"Bill Bradley",1968,1968,1,1941-06-16,"G",71,165,"No College"
"Bill Bradley",1968,1977,10,1943-07-28,"F-G",77,205,"Princeton University"
"Charles Bradley",1982,1984,3,1959-05-16,"G",77,215,"University of Wyoming"
"Dudley Bradley",1980,1989,10,1957-03-19,"G-F",78,195,"University of North Carolina"
"Jim Bradley",1974,1976,3,1952-03-16,"F",80,215,"Northern Illinois University"
"Joe Bradley",1950,1950,1,1928-09-24,"G",75,175,"Oklahoma State University"
"Michael Bradley",2002,2006,5,1979-04-18,"F-C",82,245,"Villanova University"
"Shawn Bradley",1994,2005,12,1972-03-22,"C",90,235,"Brigham Young University"
"Tony Bradley",2018,2018,1,1998-01-08,"F-C",83,240,"University of North Carolina"
"Mark Bradtke",1997,1997,1,1968-09-27,"C-F",82,265,"No College"
"Marques Bragg",1996,1996,1,1970-03-24,"F",80,230,"Providence College"
"Torraye Braggs",2004,2005,2,1976-05-15,"F",80,245,"Xavier University"
"A.J. Bramlett",2000,2000,1,1977-01-10,"C",82,227,"University of Arizona"
"Adrian Branch",1987,1990,4,1963-11-17,"F-G",79,185,"University of Maryland"
"Elton Brand",2000,2016,17,1979-03-11,"F",80,275,"Duke University"
"Terrell Brandon",1992,2002,11,1970-05-20,"G",71,180,"University of Oregon"
"Bob Brannum",1950,1955,6,1925-05-28,"F-C",77,215,"Michigan State University"
"Brad Branson",1982,1983,2,1958-09-24,"C-F",82,220,"Southern Methodist University"
"Jesse Branson",1966,1968,3,1942-01-07,"F",79,195,"Elon University"
"Jim Brasco",1953,1953,1,1931-02-03,"G",73,170,"New York University"
"Mike Bratz",1978,1986,9,1955-10-17,"G",74,185,"Stanford University"
"Carl Braun",1948,1962,15,1927-09-25,"G-F",77,180,"Colgate University"
"Tim Breaux",1995,1998,4,1970-09-19,"F",79,215,"University of Wyoming"
"J.R. Bremer",2003,2004,2,1980-09-19,"G",74,185,"St. Bonaventure University"
"Pete Brennan",1959,1959,1,1936-09-23,"F",78,205,"University of North Carolina"
"Tom Brennan",1955,1955,1,1930-08-06,"F",75,195,"Villanova University"
"Randy Breuer",1984,1994,11,1960-10-11,"C",87,230,"University of Minnesota"
"Corey Brewer",2008,2018,11,1986-03-05,"F-G",81,186,"University of Florida"
"Jamison Brewer",2002,2005,4,1980-11-19,"G",76,184,"Auburn University"
"Jim Brewer",1974,1982,9,1951-12-03,"F-C",81,210,"University of Minnesota"
"Ron Brewer",1979,1986,8,1955-09-16,"G",76,180,"University of Arkansas"
"Ronnie Brewer",2007,2014,8,1985-03-20,"G-F",79,220,"University of Arkansas"
"Primoz Brezec",2002,2010,9,1979-10-02,"C",86,252,"No College"
"Frankie Brian",1950,1956,7,1923-05-01,"G",73,180,"Louisiana State University"
"Frank Brickowski",1985,1997,13,1959-08-14,"F-C",81,240,"Pennsylvania State University"
"Junior Bridgeman",1976,1987,12,1953-09-17,"F-G",77,210,"University of Louisville"
"Bill Bridges",1963,1975,13,1939-04-04,"F-C",78,228,"University of Kansas"
"Al Brightman",1947,1947,1,1923-09-22,"F",74,195,"University of Charleston"
"Aud Brindley",1947,1947,1,1923-12-31,"F",76,175,"Dartmouth College"
"John Brisker",1970,1975,6,1947-06-15,"F-G",77,210,"University of Toledo"
"Allan Bristow",1974,1983,10,1951-08-23,"F-G",79,210,"Virginia Polytechnic Institute and State University"
"Tyrone Britt",1968,1968,1,1944-04-18,"G",76,190,"Johnson C. Smith University"
"Wayman Britt",1978,1978,1,1952-08-31,"G",74,185,"University of Michigan"
"Mike Brittain",1986,1987,2,1963-06-21,"C",84,235,"University of South Carolina"
"Dave Britton",1981,1981,1,1958-08-29,"G",76,180,"Texas A&M University"
"Jon Brockman",2010,2012,3,1987-03-20,"F",79,255,"University of Washington"
"Jim Brogan",1982,1983,2,1958-02-24,"G",76,185,"West Virginia Wesleyan College"
"Malcolm Brogdon",2017,2018,2,1992-12-11,"G",77,215,"University of Virginia"
"Gary Brokaw",1975,1978,4,1954-01-11,"G",76,178,"University of Notre Dame"
"Price Brookfield",1949,1950,2,1920-05-11,"F-G",76,185,"West Texas A&M University"
"Clarence Brookins",1971,1971,1,,"F",76,190,"Temple University"
"Aaron Brooks",2008,2018,11,1985-01-14,"G",72,161,"University of Oregon"
"Dillon Brooks",2018,2018,1,1996-01-22,"G-F",78,220,"University of Oregon"
"Kevin Brooks",1992,1994,3,1969-10-12,"F",78,200,"University of Louisiana at Lafayette"
"MarShon Brooks",2012,2014,3,1989-01-26,"G-F",77,200,"Providence College"
"Michael Brooks",1981,1988,8,1958-08-17,"F",79,220,"La Salle University"
"Scott Brooks",1989,1998,10,1965-07-31,"G",71,165,"University of California, Irvine"
"Andre Brown",2007,2009,3,1981-05-12,"F",81,245,"DePaul University"
"Anthony Brown",2016,2017,2,1992-10-10,"F-G",79,210,"Stanford University"
"Bob Brown",1949,1950,2,1923-11-12,"F",76,205,"Miami University"
"Bobby Brown",2009,2018,10,1984-09-24,"G",74,175,"California State University, Fullerton"
"Chucky Brown",1990,2002,13,1968-02-29,"F",79,214,"North Carolina State University"
"Damone Brown",2002,2005,4,1979-06-28,"F",81,200,"Syracuse University"
"Darrell Brown",1949,1949,1,1923-03-14,"F",74,175,"Humboldt State University"
"Dee Brown",1991,2002,12,1968-11-29,"G",73,160,"Jacksonville University"
"Dee Brown",2007,2009,3,1984-08-17,"G",72,185,"University of Illinois at Urbana-Champaign"
"Derrick Brown",2010,2012,3,1987-09-08,"F",79,225,"Xavier University"
"Devin Brown",2003,2010,8,1978-12-30,"G",77,220,"University of Texas at San Antonio"
"Ernest Brown",2002,2002,1,1979-05-17,"C",84,244,"Indian Hills Community College"
"Fred Brown",1972,1984,13,1948-08-07,"G",75,182,"University of Iowa"
"George Brown",1958,1958,1,1935-10-30,"F",78,190,"Wayne State University"
"Gerald Brown",1999,1999,1,1975-07-28,"G",76,210,"Pepperdine University"
"Harold Brown",1947,1947,1,1923-10-02,"G",72,155,"University of Evansville"
"Jabari Brown",2015,2015,1,1992-12-18,"G",76,215,"University of Missouri"
"Jaylen Brown",2017,2018,2,1996-10-24,"F-G",79,225,"University of California"
"John Brown",1974,1980,7,1951-12-14,"F",79,220,"University of Missouri"
"Kedrick Brown",2002,2005,4,1981-03-18,"G",79,222,"Okaloosa-Walton Community College"
"Kwame Brown",2002,2013,12,1982-03-10,"F",83,270,"No College"
"Larry Brown",1968,1972,5,1940-09-14,"G",69,160,"University of North Carolina"
"Leon Brown",1947,1947,1,1919-10-12,"F",75,190,"University of Wyoming"
"Lewis Brown",1981,1981,1,1955-02-19,"C",83,225,"University of Nevada, Las Vegas"
"Lorenzo Brown",2014,2018,5,1990-08-26,"G",77,189,"North Carolina State University"
"Marcus Brown",1997,2000,4,1974-04-03,"G",75,185,"Murray State University"
"Markel Brown",2015,2016,2,1992-01-29,"G",75,190,"Oklahoma State University"
"Mike Brown",1987,1997,11,1963-07-19,"C-F",81,257,"George Washington University"
"Myron Brown",1992,1992,1,1969-11-03,"G",75,180,"Slippery Rock University of Pennsylvania"
"P.J. Brown",1994,2008,15,1969-10-14,"F-C",83,225,"Louisiana Tech University"
"Randy Brown",1992,2003,12,1968-05-22,"G",74,190,"New Mexico State University"
"Raymond Brown",1990,1990,1,1965-07-05,"F",80,220,"University of Idaho"
"Rickey Brown",1981,1985,5,1958-08-20,"C-F",82,215,"Mississippi State University"
"Roger Brown",1968,1975,8,1942-05-22,"F-G",77,205,"University of Dayton"
"Roger Brown",1973,1980,8,1950-02-23,"C",83,225,"University of Kansas"
"Shannon Brown",2007,2015,9,1985-11-29,"G",76,205,"Michigan State University"
"Stan Brown",1948,1952,5,1929-06-27,"F",75,200,"No College"
"Sterling Brown",2018,2018,1,1995-02-10,"G",77,225,"Southern Methodist University"
"Tierre Brown",2002,2005,4,1979-06-03,"G",74,189,"McNeese State University"
"Tony Brown",1985,1992,8,1960-07-29,"F-G",78,185,"University of Arkansas"
"Jim Browne",1949,1950,2,1930-01-01,"C",82,235,"No College"
"Stanley Brundy",1990,1990,1,1967-11-13,"F",78,210,"DePaul University"
"Brian Brunkhorst",1969,1969,1,1945-06-12,"F",78,208,"Marquette University"
"George Bruns",1973,1973,1,1946-08-30,"G",72,160,"Manhattan College"
"Rick Brunson",1998,2006,9,1972-06-14,"G",76,190,"Temple University"
"Nicolas Brussino",2017,2018,2,1993-03-02,"G-F",79,195,"No College"
"Em Bryant",1965,1972,8,1938-11-04,"G",73,175,"DePaul University"
"Joe Bryant",1976,1983,8,1954-10-19,"F-C",81,185,"La Salle University"
"Kobe Bryant",1997,2016,20,1978-08-23,"G-F",78,212,"No College"
"Mark Bryant",1989,2003,15,1965-04-25,"F-C",81,245,"Seton Hall University"
"Thomas Bryant",2018,2018,1,1997-07-31,"C",82,248,"Indiana University"
"Wallace Bryant",1984,1986,3,1959-07-14,"C",84,245,"University of San Francisco"
"Torgeir Bryn",1990,1990,1,1964-08-08,"C",81,250,"Texas State University"
"George Bucci",1976,1976,1,1953-07-09,"G",75,200,"Manhattan College"
"Joe Buckhalter",1962,1963,2,1937-08-01,"F",79,210,"Tennessee State University"
"Steve Bucknall",1990,1990,1,1966-03-17,"G",78,215,"University of North Carolina"
"Cleveland Buckner",1962,1963,2,1938-08-17,"F-C",81,210,"Jackson State University"
"Greg Buckner",2000,2009,10,1976-09-16,"G",76,210,"Clemson University"
"Quinn Buckner",1977,1986,10,1954-08-20,"G",75,190,"Indiana University"
"Dave Budd",1961,1965,5,1938-10-28,"F",78,205,"Wake Forest University"
"Chase Budinger",2010,2016,7,1988-05-22,"F",79,209,"University of Arizona"
"Walt Budko",1949,1952,4,1925-07-30,"F-C",77,220,"Columbia University"
"Jud Buechler",1991,2002,12,1968-06-19,"F-G",78,220,"University of Arizona"
"Rodney Buford",2000,2005,6,1977-11-02,"G-F",77,189,"Creighton University"
"Matt Bullard",1991,2002,12,1967-06-05,"F",82,215,"University of Iowa"
"Reggie Bullock",2014,2018,5,1991-03-16,"G-F",79,205,"University of North Carolina"
"Larry Bunce",1968,1969,2,1945-07-29,"C",84,240,"Utah State University"
"Greg Bunch",1979,1979,1,1956-05-15,"F",78,190,"California State University, Fullerton"
"Dick Bunt",1953,1953,1,1930-07-13,"G",72,170,"New York University"
"Bill Buntin",1966,1966,1,1942-05-05,"C-F",79,250,"University of Michigan"
"Bill Bunting",1970,1972,3,1947-08-26,"F-C",80,200,"University of North Carolina"
"Ticky Burden",1976,1978,3,1953-02-28,"G",74,185,"University of Utah"
"Pat Burke",2003,2007,5,1973-12-14,"C-F",83,250,"Auburn University"
"Trey Burke",2014,2017,4,1992-11-12,"G",73,191,"University of Michigan"
"Roger Burkman",1982,1982,1,1958-05-22,"G",77,175,"University of Louisville"
"Alec Burks",2012,2018,7,1991-07-20,"G",78,214,"University of Colorado"
"Antonio Burks",2005,2006,2,1980-02-25,"G",73,200,"University of Memphis"
"Kevin Burleson",2006,2006,1,1979-04-09,"G",75,205,"University of Minnesota"
"Tom Burleson",1975,1981,7,1952-02-24,"C",86,225,"North Carolina State University"
"Jack Burmaster",1950,1950,1,1926-12-23,"G",75,190,"University of Illinois at Urbana-Champaign"
"David Burns",1982,1982,1,1958-07-03,"G",74,180,"Saint Louis University"
"Evers Burns",1994,1994,1,1971-08-24,"F",80,260,"University of Maryland"
"Jim Burns",1968,1968,1,1945-09-21,"G",75,195,"Northwestern University"
"Scott Burrell",1994,2001,8,1971-01-12,"G-F",79,218,"University of Connecticut"
"Art Burris",1951,1952,2,1924-04-07,"F",77,220,"University of Tennessee"
"Junior Burrough",1996,1996,1,1973-01-18,"F",80,242,"University of Virginia"
"Bob Burrow",1957,1958,2,1934-06-29,"C-F",79,228,"University of Kentucky"
"Ed Burton",1962,1965,4,1939-08-13,"F",78,225,"Michigan State University"
"Willie Burton",1991,1999,9,1968-05-26,"F-G",80,210,"University of Minnesota"
"Steve Burtt",1985,1993,9,1962-11-05,"G",74,185,"Iona College"
"Don Buse",1973,1985,13,1950-08-10,"G",76,190,"University of Evansville"
"David Bustion",1973,1973,1,1949-08-30,"F",80,215,"University of Denver"
"Donnie Butcher",1962,1966,5,1936-02-08,"G",74,200,"Pikeville College"
"Al Butler",1962,1965,4,1938-07-09,"G",74,175,"Niagara University"
"Caron Butler",2003,2016,14,1980-03-13,"F",79,228,"University of Connecticut"
"Greg Butler",1989,1991,3,1966-03-11,"C",83,240,"Stanford University"
"Jackie Butler",2005,2007,3,1985-03-10,"F-C",82,250,"No College"
"Jimmy Butler",2012,2018,7,1989-09-14,"F-G",80,236,"Marquette University"
"Mike Butler",1969,1972,4,1946-10-22,"G",74,170,"University of Memphis"
"Mitchell Butler",1994,2004,11,1970-12-15,"G-F",77,210,"University of California, Los Angeles"
"Rasual Butler",2003,2016,14,1979-05-23,"F-G",79,215,"La Salle University"
"Dwight Buycks",2014,2015,2,1989-03-06,"G",75,190,"Marquette University"
